구,행정동,lat,lng,총인구수,세대수,destination_weight
유성구,노은3동,36.38912571598265,127.31381160904098,35321,14134,0.024493874624315376
유성구,신성동,36.3771630932471,127.387083357596,25320,12691,0.017558531907014674
유성구,전민동,36.37790602681553,127.39902255587242,25343,11323,0.01757448160029514
유성구,구즉동,36.44795042264134,127.37469207384552,32500,15341,0.02253761007022026
유성구,관평동,36.41469374647747,127.38185417307021,37759,14656,0.026184542112044514
유성구,원신흥동,36.3385882751495,127.34690453696,32559,14772,0.022578524500809275
대덕구,오정동,36.353414559567,127.421426400213,13000,7424,0.009015044028088103
대덕구,대화동,36.3665799273558,127.411823338588,5206,2785,0.003610178400786667
대덕구,회덕동,36.384722100898955,127.43919694384539,11989,5897,0.008313950988672944
대덕구,비래동,36.3563956136781,127.459567608011,14192,6812,0.009841654218971258
대덕구,송촌동,36.364978217200765,127.44144258129646,26650,11074,0.01848084025758061
대덕구,중리동,36.3597104716265,127.429936919798,17394,10225,0.012062128909581882
대덕구,신탄진동,36.47485472417273,127.4796164095806,15844,7881,0.010987258275463685
대덕구,석봉동,36.4496862015082,127.418841131699,15622,6666,0.01083330906206095
대덕구,덕암동,36.4390069887851,127.427616905159,12203,6587,0.008462352482673779
대덕구,목상동,36.4523945167252,127.402237102643,5751,3133,0.003988116785041129
대덕구,법1동,36.3723316142363,127.424577264794,12018,5966,0.008334061471504832
대덕구,법2동,36.37297150528456,127.43926683092114,14178,6681,0.009831945710017933
